"","ID","YEAR","SITE","FSIZE","HRBF","HRBL","INSE.A","FROGR","PLPHY","HYLA","TADPL","EFFRG","EFTRP"
"1",1,1,"SY",2980,1,0,"Yes",2,0,27,NA,80,NA
"2",2,1,"SY",2950,1,0,"Yes",2,0,13,NA,160,NA
"3",3,1,"SY",1080,1,0,"Yes",1,0,60,NA,80,NA
"4",4,1,"SY",3410,2,3,"Yes",1,0,82,NA,80,NA
"17",17,1,"SY",2930,0,0,"No",2,0,22,NA,80,NA
"18",18,1,"SY",2850,0,0,"No",2,0,32,NA,80,NA
"21",21,1,"TS",2920,2,2,"Yes",1,0,215,NA,80,NA
"22",22,1,"TS",2929,2,2,"Yes",1,0,324,NA,80,NA
"31",31,1,"TS",2920,0,0,"No",1,0,10,NA,80,NA
"32",32,1,"TS",2930,0,0,"No",1,0,18,NA,80,NA
"62",62,2,"NY",NA,NA,NA,NA,2,0,31,NA,160,4
"64",64,2,"NY",NA,NA,NA,NA,2,1,7,NA,160,4
"65",65,2,"NY",NA,NA,NA,NA,2,0,16,NA,160,4
"66",66,2,"NY",NA,NA,NA,NA,1,0,1,NA,160,NA
"67",67,2,"NY",NA,NA,NA,NA,3,0,11,NA,160,4
"71",71,2,"NY",NA,0,0,"No",1,0,2,NA,160,4
"73",73,2,"NY",NA,0,0,"No",2,5,11,NA,160,4
"74",74,2,"NY",NA,0,0,"No",1,0,8,NA,160,4
"75",75,2,"NY",NA,0,0,"No",1,0,3,NA,160,4
"79",79,2,"SY",2980,3,0,"No",2,0,46,NA,80,NA
"80",80,2,"SY",2950,3,0,"No",3,0,43,NA,160,4
"81",81,2,"SY",1080,3,0,"No",2,0,25,NA,80,4
"87",87,2,"SY",2880,3,0,"No",1,0,21,NA,160,NA
"92",92,2,"SY",2880,3,0,"No",1,0,6,NA,160,4
"93",93,2,"SY",2890,3,0,"No",1,0,9,NA,160,NA
"95",95,2,"SY",2930,0,0,"No",3,2,57,NA,80,NA
"96",96,2,"SY",2850,0,0,"No",2,0,18,NA,80,4
"99",99,2,"TS",NA,NA,NA,NA,1,0,60,NA,80,NA
"100",100,2,"TS",NA,NA,NA,NA,1,0,27,NA,80,NA
"101",101,2,"TS",2930,3,2,"Yes",1,0,49,NA,160,4
"102",102,2,"TS",2950,3,2,"Yes",1,0,92,NA,160,4
"111",111,2,"TS",2920,3,0,"No",1,0,84,NA,80,4
"112",112,2,"TS",2930,3,0,"No",1,0,29,NA,80,NA
"118",118,2,"TS",1800,4,0,"Yes",1,0,38,NA,160,4
"119",119,2,"TS",3080,4,0,"Yes",1,0,36,NA,160,NA
"121",121,2,"YS",2420,4,0,NA,2,0,14,NA,160,NA
"122",122,2,"YS",2940,4,0,"Yes",2,0,26,NA,160,4
"124",124,2,"YS",NA,NA,NA,NA,1,0,16,NA,160,4
"128",128,2,"YS",2930,NA,NA,NA,1,0,23,NA,160,4
"129",129,2,"YS",2930,5,1,"No",1,0,4,NA,160,NA
"135",135,2,"YS",3040,0,0,"No",2,0,36,NA,160,4
