ID,YEAR,SITE,FIELD,FARM,YIELD,FSIZE,WDEPT,IRRI,DARI,MOW1,MOW2,VEG1,VEG2,CFERT,HRBF,HRBL,INSE.A,INSE,ROTA,FLOD,PLNTA,PLNTR,SPIDR,DRGNF,CLPTR,FROGR,PLPHY,HYLA,TADPL,LOACH,EFPLT,EFSPI,EFDRG,EFCLP,EFFRG,EFTRP
138,2,YS,YSY05,2,510,2800,20,29,31,4,16,0.097222222,0.00945216,0,0,0,0,0,0,0,6,1,NA,NA,1,2,0,9,NA,NA,3,NA,NA,10,160,NA
139,2,YS,YSY06,2,NA,NA,NA,NA,NA,NA,NA,0.033333333,0.001111111,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,13,NA,NA,NA,NA,NA,NA,160,NA
140,2,YS,YSY07,2,480,2690,4,32,30,3,9,0.136666667,0.018677778,0,0,0,0,0,0,0,4,1,5,35,7,2,0,9,NA,0,3,120,80,10,160,4
141,2,YS,YSY10,2,470,3000,15,29,NA,4,16,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,3,SY,SYK01,0,500,2980,5,19,32,4,16,NA,NA,4.8,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
143,3,SY,SYK02,0,500,2950,5,19,32,4,16,0.141666667,0.020069444,4.8,3,0,0,0,0,0,0,0,4,0,0,3,1,119,NA,0,3,80,160,10,160,4
144,3,SY,SYK03,0,500,1080,5,19,32,4,16,0.153030303,0.023418274,4.8,3,0,0,0,0,0,0,0,6,1,0,2,0,53,NA,0,3,80,160,10,80,4
145,3,SY,SYK04,0,560,3410,7,25,28,4,16,NA,NA,5.3541,3,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
146,3,SY,SYK05,0,500,2560,5,19,32,4,16,NA,NA,4.8,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
147,3,SY,SYK06,0,500,2520,5,19,32,4,16,NA,NA,4.8,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
148,3,SY,SYK07,0,500,2080,5,19,32,4,16,NA,NA,4.8,3,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
149,3,SY,SYK08,0,500,3440,5,19,32,4,16,NA,NA,4.8,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
150,3,SY,SYK09,0,500,2880,5,19,32,4,16,0.101851852,0.0103738,4.8,3,0,0,0,0,0,0,0,3,1,1,1,0,39,NA,0,3,80,160,10,160,4
151,3,SY,SYK10,0,500,2730,5,19,32,4,16,0.079166667,0.006267361,4.8,3,0,0,0,0,0,1,0,4,1,0,1,0,63,NA,0,3,80,160,10,160,4
152,3,SY,SYT03,1,390,2570,15,27,36,3,9,NA,NA,0,3,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
153,3,SY,SYT05,1,390,2840,15,27,36,3,9,NA,NA,0,3,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
154,3,SY,SYT07,1,390,2990,15,27,36,3,9,NA,NA,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
155,3,SY,SYT08,1,390,2880,15,27,36,3,9,NA,NA,0,0,0,0,0,0,1,0,0,10,0,1,NA,NA,NA,NA,NA,3,80,160,10,NA,NA
156,3,SY,SYT09,1,390,2890,15,27,36,3,9,NA,NA,0,0,0,0,0,0,1,2,0,11,1,0,NA,NA,NA,NA,NA,3,80,160,10,NA,NA
157,3,SY,SYT10,1,390,3050,15,27,36,3,9,NA,NA,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
158,3,SY,SYY01,2,300,2930,15,27,36,3,9,0.066666667,0.004444444,0,0,0,0,0,0,1,1,1,18,1,0,2,0,14,NA,7,3,80,160,10,80,4
159,3,SY,SYY02,2,390,2850,15,27,36,3,9,NA,NA,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,4
160,3,SY,SYY04,2,390,2840,15,27,36,3,9,NA,NA,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
161,3,SY,SYY06,2,300,2840,15,27,36,3,9,0.133333333,0.017777778,0,0,0,0,0,0,1,0,0,14,1,1,2,0,2,NA,NA,3,80,160,10,160,NA
162,3,SY,SYY08,2,NA,NA,NA,NA,NA,NA,NA,0.083333333,0.006944444,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,13,NA,0,NA,NA,NA,NA,160,4
163,3,SY,SYY09,2,NA,NA,NA,NA,NA,NA,NA,0.113888889,0.012970679,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,5,NA,0,NA,NA,NA,NA,160,4
164,3,TS,TSK01,0,600,2950,20,35,24,2,4,NA,NA,22,3,2,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,4
165,3,TS,TSK02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
166,3,TS,TSK03,0,540,2950,20,33,24,4,16,NA,NA,1.8,2,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
167,3,TS,TSK04,0,600,1720,20,35,24,2,4,0.025925926,0.000672154,22,3,2,1,0,0,0,0,0,3,0,0,1,0,47,NA,NA,3,80,160,10,160,NA
168,3,TS,TSK05,0,600,2930,20,35,24,2,4,0.069444444,0.004822531,23.8,3,2,1,0,0,0,0,0,4,0,0,2,0,47,NA,0,3,80,160,10,160,4
169,3,TS,TSK06,0,540,2950,20,33,24,4,16,0.041666667,0.001736111,1.8,2,0,1,1,0,0,1,0,3,0,3,2,0,22,NA,0,3,80,160,10,160,4
170,3,TS,TSK07,0,540,2950,20,33,24,4,16,0.058333333,0.003402778,1.8,2,0,1,1,0,0,0,0,3,3,2,1,0,26,NA,NA,3,80,160,10,160,NA
171,3,TS,TSK08,0,600,2940,20,35,24,2,4,NA,NA,22,3,2,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
172,3,TS,TSK09,0,600,2940,20,35,24,2,4,0.244444444,0.059753086,22,3,2,1,0,0,0,0,0,NA,NA,NA,1,0,31,NA,NA,3,NA,NA,NA,160,NA
173,3,TS,TSK10,0,600,1800,20,35,24,2,4,NA,NA,22,3,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
174,3,TS,TSK12,0,600,2940,20,35,24,2,4,NA,NA,22,3,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4
175,3,TS,TST01,1,545,2920,6,28,26,4,16,0.139393939,0.01943067,0,3,0,0,0,0,0,0,0,7,0,0,1,0,171,NA,0,3,80,160,10,80,4
176,3,TS,TST02,1,545,2930,6,28,26,4,16,0.147916667,0.02187934,0,3,0,0,0,0,0,0,0,5,5,1,1,0,56,NA,2,3,80,160,10,80,4
177,3,TS,TST03,1,545,3350,6,28,26,4,16,NA,NA,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
178,3,TS,TST04,1,545,2920,6,28,26,4,16,NA,NA,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
179,3,TS,TST05,1,545,1970,6,28,26,4,16,NA,NA,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
180,3,TS,TST06,1,587,3030,6,28,26,4,16,NA,NA,0,3,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
181,3,TS,TST07,1,510,4120,10,32,32,4,16,NA,NA,0,3,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
182,3,TS,TST08,1,510,1800,10,32,32,4,16,0.205555556,0.042253086,0,3,0,1,0,0,0,0,0,5,17,0,1,0,19,NA,0,3,80,160,10,160,4
183,3,TS,TST09,1,510,3080,10,32,32,4,16,0.123333333,0.015211111,0,3,0,1,0,0,0,0,0,1,7,0,1,0,43,NA,0,3,80,160,10,160,4
184,3,TS,TST10,1,510,2680,10,32,32,4,16,NA,NA,0,3,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
185,1,KA,KAK01,0,NA,1300,10,NA,11,NA,NA,0.1,0.01,0.6,7,3,1,0,0,0,3,1,0,6,0,1,0,2,34,2,3,80,40,8,80,5
186,1,KA,KAK02,0,NA,1170,10,NA,11,NA,NA,0.122222222,0.014938272,0.6,7,3,1,0,0,0,0,0,5,0,4,1,0,5,79,0,3,80,40,8,80,5
187,1,KA,KAK10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
188,1,KA,KAK11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
189,1,KA,KAK12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
190,1,KA,KAK13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
191,1,KA,KAK14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
192,1,KA,KAK15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
193,1,KA,KAT01,1,NA,1796,10,4,NA,NA,NA,0.05,0.0025,0,4,NA,0,0,0,0,3,2,4,3,26,1,0,3,8,0,3,80,40,8,80,5
194,1,KA,KAT02,1,NA,1889,10,4,NA,NA,NA,0.02,4.00E-04,0,4,NA,0,0,0,0,2,0,7,0,5,1,0,1,0,0,3,80,40,8,80,5
195,1,KA,KAT08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
196,1,KA,KAT09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
197,1,KA,KAT10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
198,1,KA,KAT11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
199,1,KA,KAT12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
200,1,KA,KAT13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
201,1,KO,KOK01,0,480,2700,6,NA,14,2,4,0.05,0.0025,0.5531,4,NA,1,0,1,1,1,0,1,25,0,1,0,12,202,0,3,80,40,8,80,5
202,1,KO,KOK02,0,480,3250,6,NA,14,2,4,0.05,0.0025,0.5531,4,NA,1,0,1,1,5,2,5,48,0,2,11,6,206,0,3,80,40,8,80,5
203,1,KO,KOK09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
204,1,KO,KOK10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
205,1,KO,KOK11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
206,1,KO,KOK12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
207,1,KO,KOK13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
208,1,KO,KOK14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
209,1,KO,KOK15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
210,1,KO,KOK16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
211,1,KO,KOY01,2,NA,3700,20,30,23,4,16,0.071428571,0.005102041,0,0,0,0,0,0,0,3,2,12,0,1,2,0,7,5,1,3,80,40,8,80,5
212,1,KO,KOY02,2,NA,3700,20,30,23,NA,NA,0.214814815,0.046145405,0,0,0,0,0,0,0,5,1,11,7,0,2,1,18,94,5,3,80,40,8,80,5
213,1,KO,KOY05,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
214,1,KO,KOY06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
215,1,KO,KOY08,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
216,1,KO,KOY09,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
217,1,KO,KOY10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
218,1,KO,KOY11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
219,1,KO,KOY12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
220,1,KO,KOY13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
221,1,KY,KYK01,0,520,2900,6,47,24,NA,NA,0.083333333,0.006944444,0.6,4,2,1,1,0,0,2,0,2,5,2,2,4,2,51,0,3,80,40,8,80,5
222,1,KY,KYK02,0,520,2900,6,47,24,NA,NA,0.14047619,0.01973356,0.6,4,2,1,1,0,0,0,0,8,2,0,2,6,2,9,0,3,80,40,8,80,5
223,1,KY,KYK06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
224,1,KY,KYK07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
225,1,KY,KYK08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
226,1,KY,KYK09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
227,1,KY,KYK10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
228,1,KY,KYK11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
229,1,KY,KYK12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
230,1,KY,KYK13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
231,1,KY,KYY01,2,300,4600,15,NA,40,4,16,0.425,0.180625,0,0,0,0,0,0,0,5,2,26,170,3,2,3,2,23,0,3,80,40,8,80,5
232,1,KY,KYY01,2,300,4600,15,NA,40,4,16,0.425,0.180625,0,0,0,0,0,0,0,5,2,26,170,3,2,3,2,23,0,3,80,40,8,80,5
233,1,KY,KYY02,2,300,4800,15,NA,39,5,25,0.333333333,0.111111111,0,0,0,0,0,0,0,8,2,76,208,1,0,0,0,10,2,3,80,40,8,80,5
234,1,KY,KYY03,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
235,1,KY,KYY04,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
236,1,KY,KYY05,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
237,1,KY,KYY06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
238,1,KY,KYY07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
239,1,KY,KYY08,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
240,1,KY,KYY09,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
241,1,KY,KYY10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
242,1,NO,NOK01,0,420,3340,15,31,1,NA,NA,0.09,0.0081,8.04,6,NA,1,1,0,0,2,1,2,4,0,2,2,1,161,0,3,80,40,8,80,5
243,1,NO,NOK02,0,420,3180,15,31,1,NA,NA,0.15,0.0225,8.04,6,NA,1,1,0,0,2,1,0,1,0,3,5,1,207,0,3,80,40,8,80,5
244,1,NO,NOK09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
245,1,NO,NOK10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
246,1,NO,NOK11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
